app_name,platform,developer_company,app_category,version_number,version_release_date,is_current_version,initial_app_release_date,update_description_release_notes,standardized_update_categories,standardized_update_summary,source_url,data_quality_notes
Instagram,Android,Instagram,Social Media,Varies with device,2026-04-27,Yes,"Apr 3, 2012",,,,https://play.google.com/store/apps/details?id=com.instagram.android,"Current Google Play metadata collected with google-play-scraper. Public Google Play data usually provides limited historical update history, so Android multi-year history may need supplemental sources such as AppBrain/APKMirror."
TikTok,Android,TikTok Pte. Ltd.,Social Media,Varies with device,2026-04-30,Yes,"Jul 9, 2015",,,,https://play.google.com/store/apps/details?id=com.zhiliaoapp.musically,"Current Google Play metadata collected with google-play-scraper. Public Google Play data usually provides limited historical update history, so Android multi-year history may need supplemental sources such as AppBrain/APKMirror."
YouTube,Android,Google LLC,Entertainment / Video,Varies with device,2026-05-05,Yes,"Oct 20, 2010",,,,https://play.google.com/store/apps/details?id=com.google.android.youtube,"Current Google Play metadata collected with google-play-scraper. Public Google Play data usually provides limited historical update history, so Android multi-year history may need supplemental sources such as AppBrain/APKMirror."
Netflix,Android,"Netflix, Inc.",Entertainment / Streaming,Varies with device,2026-04-28,Yes,"May 5, 2011",,,,https://play.google.com/store/apps/details?id=com.netflix.mediaclient,"Current Google Play metadata collected with google-play-scraper. Public Google Play data usually provides limited historical update history, so Android multi-year history may need supplemental sources such as AppBrain/APKMirror."
Spotify,Android,Spotify AB,Music / Audio,Varies with device,2026-05-04,Yes,"May 27, 2014",,,,https://play.google.com/store/apps/details?id=com.spotify.music,"Current Google Play metadata collected with google-play-scraper. Public Google Play data usually provides limited historical update history, so Android multi-year history may need supplemental sources such as AppBrain/APKMirror."
Uber,Android,"Uber Technologies, Inc.",Transportation,4.628.10002,2026-05-01,Yes,"Oct 28, 2010",,,,https://play.google.com/store/apps/details?id=com.ubercab,"Current Google Play metadata collected with google-play-scraper. Public Google Play data usually provides limited historical update history, so Android multi-year history may need supplemental sources such as AppBrain/APKMirror."
DoorDash,Android,DoorDash,Food Delivery,15.273.1,2026-05-04,Yes,"Mar 26, 2015",,,,https://play.google.com/store/apps/details?id=com.dd.doordash,"Current Google Play metadata collected with google-play-scraper. Public Google Play data usually provides limited historical update history, so Android multi-year history may need supplemental sources such as AppBrain/APKMirror."
Amazon Shopping,Android,Amazon Mobile LLC,Shopping,32.9.0.100,2026-04-23,Yes,"Dec 10, 2014",,,,https://play.google.com/store/apps/details?id=com.amazon.mShop.android.shopping,"Current Google Play metadata collected with google-play-scraper. Public Google Play data usually provides limited historical update history, so Android multi-year history may need supplemental sources such as AppBrain/APKMirror."
PayPal,Android,PayPal Mobile,Finance,8.105.1,2026-04-23,Yes,,,,,https://play.google.com/store/apps/details?id=com.paypal.android.p2pmobile,"Current Google Play metadata collected with google-play-scraper. Public Google Play data usually provides limited historical update history, so Android multi-year history may need supplemental sources such as AppBrain/APKMirror."
Google Docs,Android,Google LLC,Productivity,Varies with device,2026-05-04,Yes,"Apr 30, 2014",,,,https://play.google.com/store/apps/details?id=com.google.android.apps.docs.editors.docs,"Current Google Play metadata collected with google-play-scraper. Public Google Play data usually provides limited historical update history, so Android multi-year history may need supplemental sources such as AppBrain/APKMirror."
